起点站ID,终点站ID,所属线路,运行方向,运行时间
1001,1002,地铁1号线,无,2
1002,1001,地铁1号线,无,2
1002,1003,地铁1号线,无,2
1003,1002,地铁1号线,无,2
1003,1004,地铁1号线,无,3
1004,1003,地铁1号线,无,3
1004,1005,地铁1号线,无,3
1005,1004,地铁1号线,无,3
1005,1006,地铁1号线,无,2.5
1006,1005,地铁1号线,无,2.5
1006,1007,地铁1号线,无,2.5
1007,1006,地铁1号线,无,2.5
1007,1008,地铁1号线,无,2.5
1008,1007,地铁1号线,无,2.5
1008,1009,地铁1号线,无,2
1009,1008,地铁1号线,无,2
1009,1010,地铁1号线,无,2
1010,1009,地铁1号线,无,2
1010,1011,地铁1号线,无,2
1011,1010,地铁1号线,无,2
1011,1012,地铁1号线,无,2.5
1012,1011,地铁1号线,无,2.5
1012,1013,地铁1号线,无,3
1013,1012,地铁1号线,无,3
1013,1014,地铁1号线,无,2.4
1014,1013,地铁1号线,无,2.4
1014,1015,地铁1号线,无,2
1015,1014,地铁1号线,无,2
1015,1016,地铁1号线,无,2
1016,1015,地铁1号线,无,2
1016,1017,地铁1号线,无,2
1017,1016,地铁1号线,无,2
1017,1018,地铁1号线,无,2.5
1018,1017,地铁1号线,无,2.5
1018,1019,地铁1号线,无,2
1019,1018,地铁1号线,无,2
1019,1020,地铁1号线,无,2.5
1020,1019,地铁1号线,无,2.5
1020,1021,地铁1号线,无,3
1021,1020,地铁1号线,无,3
1021,1022,地铁1号线,无,2.5
1022,1021,地铁1号线,无,2.5
1022,1023,地铁1号线,无,2.5
1023,1022,地铁1号线,无,2.5
1023,1024,地铁1号线,无,2.5
1024,1023,地铁1号线,无,2.5
1024,1025,地铁1号线,无,2.5
1025,1024,地铁1号线,无,2.5
1025,1026,地铁1号线,无,3
1026,1025,地铁1号线,无,3
1026,1027,地铁1号线,无,2
1027,1026,地铁1号线,无,2
1027,1028,地铁1号线,无,2.4
1028,1027,地铁1号线,无,2.4
1029,1030,地铁2号线,无,3
1030,1029,地铁2号线,无,3
1030,1031,地铁2号线,无,7
1031,1030,地铁2号线,无,7
