站点ID,站点名,所属线路,运营状态
1001,莘庄,地铁1号线,开启
1002,外环路,地铁1号线,开启
1003,莲花路,地铁1号线,开启
1004,锦江乐园,地铁1号线,开启
1005,上海南站,地铁1号线,开启
1006,漕宝路,地铁1号线,开启
1007,上海体育馆,地铁1号线,开启
1008,徐家汇,地铁1号线,开启
1009,衡山路,地铁1号线,开启
1010,常熟路,地铁1号线,开启
1011,陕西南路,地铁1号线,开启
1012,一大会址·黄陂南路,地铁1号线,开启
1013,人民广场,地铁1号线,开启
1014,新闸路,地铁1号线,开启
1015,汉中路,地铁1号线,开启
1016,上海火车站,地铁1号线,开启
1017,中山北路,地铁1号线,开启
1018,延长路,地铁1号线,开启
1019,上海马戏城,地铁1号线,开启
1020,汶水路,地铁1号线,开启
1021,彭浦新村,地铁1号线,开启
1022,共康路,地铁1号线,开启
1023,通河新村,地铁1号线,开启
1024,呼兰路,地铁1号线,开启
1025,共富新村,地铁1号线,开启
1026,宝安公路,地铁1号线,开启
1027,友谊西路,地铁1号线,开启
1028,富锦路,地铁1号线,开启
1029,浦东1号2号航站楼,地铁2号线,开启
1030,海天三路,地铁2号线,开启
1031,远东大道,地铁2号线,开启
1032,凌空路,地铁2号线,开启
1033,川沙,地铁2号线,开启
1034,华夏东路,地铁2号线,开启
1035,创新中路,地铁2号线,开启
1036,唐镇,地铁2号线,开启
1037,广兰路,地铁2号线,开启
1038,金科路,地铁2号线,开启
1039,张江高科,地铁2号线,开启
1040,龙阳路,地铁2号线,开启
1041,世纪公园,地铁2号线,开启
1042,上海科技馆,地铁2号线,开启
1043,世纪大道,地铁2号线,开启
1044,浦东南路(原东昌路),地铁2号线,开启
1045,陆家嘴,地铁2号线,开启
1046,南京东路,地铁2号线,开启
1047,人民广场,地铁2号线,开启
1048,南京西路,地铁2号线,开启
1049,静安寺,地铁2号线,开启
1050,江苏路,地铁2号线,开启
1051,中山公园,地铁2号线,开启
1052,娄山关路,地铁2号线,开启
1053,威宁路,地铁2号线,开启
1054,北新泾,地铁2号线,开启
1055,淞虹路,地铁2号线,开启
1056,虹桥2号航站楼,地铁2号线,开启
1057,虹桥火车站,地铁2号线,开启
1058,国家会展中心(2号线),地铁2号线,开启
1059,蟠祥路·国家会计学院,地铁2号线,开启
1060,江杨北路,地铁3号线,开启
1061,铁力路,地铁3号线,开启
1062,友谊路,地铁3号线,开启
1063,宝杨路,地铁3号线,开启
1064,水产路,地铁3号线,开启
1065,淞滨路,地铁3号线,开启
1066,张华浜,地铁3号线,开启
1067,淞发路,地铁3号线,开启
1068,长江南路,地铁3号线,开启
1069,殷高西路,地铁3号线,开启
1070,江湾镇,地铁3号线,开启
1071,大柏树,地铁3号线,开启
1072,赤峰路,地铁3号线,开启
1073,虹口足球场,地铁3号线,开启
1074,东宝兴路,地铁3号线,开启
1075,宝山路,地铁3号线,开启
1076,上海火车站,地铁3号线,开启
1077,中潭路,地铁3号线,开启
1078,镇坪路,地铁3号线,开启
1079,曹杨路,地铁3号线,开启
1080,金沙江路,地铁3号线,开启
1081,中山公园,地铁3号线,开启
1082,延安西路,地铁3号线,开启
1083,虹桥路,地铁3号线,开启
1084,宜山路,地铁3号线,开启
1085,漕溪路,地铁3号线,开启
1086,龙漕路,地铁3号线,开启
1087,石龙路,地铁3号线,开启
1088,上海南站,地铁3号线,开启
1089,宜山路,4号线,开启
1090,虹桥路,4号线,开启
1091,延安西路,4号线,开启
1092,中山公园,4号线,开启
1093,金沙江路,4号线,开启
1094,曹杨路,4号线,开启
1095,镇坪路,4号线,开启
1096,中潭路,4号线,开启
1097,上海火车站,4号线,开启
1098,宝山路,4号线,开启
1099,海伦路,4号线,开启
1100,临平路,4号线,开启
1101,大连路,4号线,开启
1102,杨树浦路,4号线,开启
1103,浦东大道,4号线,开启
1104,世纪大道,4号线,开启
1105,向城路,4号线,开启
1106,蓝村路,4号线,开启
1107,塘桥,4号线,开启
1108,南浦大桥,4号线,开启
1109,西藏南路,4号线,开启
1110,鲁班路,4号线,开启
1111,大木桥路,4号线,开启
1112,东安路,4号线,开启
1113,上海体育场,4号线,开启
1114,上海体育馆,4号线,开启
1115,莘庄,地铁5号线,开启
1116,春申路,地铁5号线,开启
1117,银都路,地铁5号线,开启
1118,颛桥,地铁5号线,开启
1119,北桥,地铁5号线,开启
1120,剑川路,地铁5号线,开启
1121,东川路,地铁5号线,开启
1122,金平路,地铁5号线,开启
1123,华宁路,地铁5号线,开启
1124,文井路,地铁5号线,开启
1125,闵行开发区,地铁5号线,开启
1126,莘庄,地铁5号线,开启
1127,春申路,地铁5号线,开启
1128,银都路,地铁5号线,开启
1129,颛桥,地铁5号线,开启
1130,北桥,地铁5号线,开启
1131,剑川路,地铁5号线,开启
1132,东川路,地铁5号线,开启
1133,江川路,地铁5号线,开启
1134,西渡,地铁5号线,开启
1135,萧塘,地铁5号线,开启
1136,奉浦大道,地铁5号线,开启
1137,环城东路,地铁5号线,开启
1138,望园路,地铁5号线,开启
1139,金海湖,地铁5号线,开启
1140,奉贤新城,地铁5号线,开启
1141,东方体育中心,地铁6号线,开启
1142,灵岩南路,地铁6号线,开启
1143,上南路,地铁6号线,开启
1144,华夏西路,地铁6号线,开启
1145,高青路,地铁6号线,开启
1146,东明路,地铁6号线,开启
1147,高科西路,地铁6号线,开启
1148,临沂新村,地铁6号线,开启
1149,上海儿童医学中心,地铁6号线,开启
1150,蓝村路,地铁6号线,开启
1151,浦电路,地铁6号线,开启
1152,世纪大道,地铁6号线,开启
1153,源深体育中心,地铁6号线,开启
1154,民生路,地铁6号线,开启
1155,北洋泾路,地铁6号线,开启
1156,德平路,地铁6号线,开启
1157,云山路,地铁6号线,开启
1158,金桥路,地铁6号线,开启
1159,博兴路,地铁6号线,开启
1160,五莲路,地铁6号线,开启
1161,巨峰路,地铁6号线,开启
1162,东靖路,地铁6号线,开启
1163,五洲大道,地铁6号线,开启
1164,洲海路,地铁6号线,开启
1165,外高桥保税区南,地铁6号线,开启
1166,航津路,地铁6号线,开启
1167,外高桥保税区北,地铁6号线,开启
1168,港城路,地铁6号线,开启
1169,花木路,地铁7号线,开启
1170,龙阳路,地铁7号线,开启
1171,芳华路,地铁7号线,开启
1172,锦绣路,地铁7号线,开启
1173,杨高南路,地铁7号线,开启
1174,高科西路,地铁7号线,开启
1175,云台路,地铁7号线,开启
1176,耀华路,地铁7号线,开启
1177,长清路,地铁7号线,开启
1178,后滩,地铁7号线,开启
1179,龙华中路,地铁7号线,开启
1180,东安路,地铁7号线,开启
1181,肇嘉浜路,地铁7号线,开启
1182,常熟路,地铁7号线,开启
1183,静安寺,地铁7号线,开启
1184,昌平路,地铁7号线,开启
1185,长寿路,地铁7号线,开启
1186,镇坪路,地铁7号线,开启
1187,岚皋路,地铁7号线,开启
1188,新村路,地铁7号线,开启
1189,大华三路,地铁7号线,开启
1190,行知路,地铁7号线,开启
1191,大场镇,地铁7号线,开启
1192,场中路,地铁7号线,开启
1193,上大路,地铁7号线,开启
1194,南陈路,地铁7号线,开启
1195,上海大学,地铁7号线,开启
1196,祁华路,地铁7号线,开启
1197,顾村公园,地铁7号线,开启
1198,刘行,地铁7号线,开启
1199,潘广路,地铁7号线,开启
1200,罗南新村,地铁7号线,开启
1201,美兰湖,地铁7号线,开启
1202,沈杜公路,地铁8号线,开启
1203,联航路,地铁8号线,开启
1204,江月路,地铁8号线,开启
1205,浦江镇,地铁8号线,开启
1206,芦恒路,地铁8号线,开启
1207,凌兆新村,地铁8号线,开启
1208,东方体育中心,地铁8号线,开启
1209,杨思,地铁8号线,开启
1210,成山路,地铁8号线,开启
1211,耀华路,地铁8号线,开启
1212,中华艺术宫,地铁8号线,开启
1213,西藏南路,地铁8号线,开启
1214,陆家浜路,地铁8号线,开启
1215,老西门,地铁8号线,开启
1216,大世界,地铁8号线,开启
1217,人民广场,地铁8号线,开启
1218,曲阜路,地铁8号线,开启
1219,中兴路,地铁8号线,开启
1220,西藏北路,地铁8号线,开启
1221,虹口足球场,地铁8号线,开启
1222,曲阳路,地铁8号线,开启
1223,四平路,地铁8号线,开启
1224,鞍山新村,地铁8号线,开启
1225,江浦路,地铁8号线,开启
1226,黄兴路,地铁8号线,开启
1227,延吉中路,地铁8号线,开启
1228,黄兴公园,地铁8号线,开启
1229,翔殷路,地铁8号线,开启
1230,嫩江路,地铁8号线,开启
1231,市光路,地铁8号线,开启
1232,曹路,地铁9号线,开启
1233,民雷路,地铁9号线,开启
1234,顾唐路,地铁9号线,开启
1235,金海路,地铁9号线,开启
1236,金吉路,地铁9号线,开启
1237,金桥,地铁9号线,开启
1238,台儿庄路,地铁9号线,开启
1239,蓝天路,地铁9号线,开启
1240,芳甸路,地铁9号线,开启
1241,杨高中路,地铁9号线,开启
1242,世纪大道,地铁9号线,开启
1243,商城路,地铁9号线,开启
1244,小南门,地铁9号线,开启
1245,陆家浜路,地铁9号线,开启
1246,马当路,地铁9号线,开启
1247,打浦桥,地铁9号线,开启
1248,嘉善路,地铁9号线,开启
1249,肇嘉浜路,地铁9号线,开启
1250,徐家汇,地铁9号线,开启
1251,宜山路,地铁9号线,开启
1252,桂林路,地铁9号线,开启
1253,漕河泾开发区,地铁9号线,开启
1254,合川路,地铁9号线,开启
1255,星中路,地铁9号线,开启
1256,七宝,地铁9号线,开启
1257,中春路,地铁9号线,开启
1258,九亭,地铁9号线,开启
1259,泗泾,地铁9号线,开启
1260,佘山,地铁9号线,开启
1261,洞泾,地铁9号线,开启
1262,松江大学城,地铁9号线,开启
1263,松江新城,地铁9号线,开启
1264,松江体育中心,地铁9号线,开启
1265,醉白池,地铁9号线,开启
1266,上海松江站,地铁9号线,开启
1267,基隆路,地铁10号线,开启
1268,港城路,地铁10号线,开启
1269,高桥,地铁10号线,开启
1270,高桥西,地铁10号线,开启
1271,双江路,地铁10号线,开启
1272,国帆路,地铁10号线,开启
1273,新江湾城,地铁10号线,开启
1274,殷高东路,地铁10号线,开启
1275,三门路,地铁10号线,开启
1276,江湾体育场,地铁10号线,开启
1277,五角场,地铁10号线,开启
1278,国权路,地铁10号线,开启
1279,同济大学,地铁10号线,开启
1280,四平路,地铁10号线,开启
1281,邮电新村,地铁10号线,开启
1282,海伦路,地铁10号线,开启
1283,四川北路,地铁10号线,开启
1284,天潼路,地铁10号线,开启
1285,南京东路,地铁10号线,开启
1286,豫园,地铁10号线,开启
1287,老西门,地铁10号线,开启
1288,一大会址·新天地,地铁10号线,开启
1289,陕西南路,地铁10号线,开启
1290,上海图书馆,地铁10号线,开启
1291,交通大学,地铁10号线,开启
1292,虹桥路,地铁10号线,开启
1293,宋园路,地铁10号线,开启
1294,伊犁路,地铁10号线,开启
1295,水城路,地铁10号线,开启
1296,龙溪路,地铁10号线,开启
1297,龙柏新村,地铁10号线,开启
1298,紫藤路,地铁10号线,开启
1299,航中路,地铁10号线,开启
1300,基隆路,地铁10号线,开启
1301,港城路,地铁10号线,开启
1302,高桥,地铁10号线,开启
1303,高桥西,地铁10号线,开启
1304,双江路,地铁10号线,开启
1305,国帆路,地铁10号线,开启
1306,新江湾城,地铁10号线,开启
1307,殷高东路,地铁10号线,开启
1308,三门路,地铁10号线,开启
1309,江湾体育场,地铁10号线,开启
1310,五角场,地铁10号线,开启
1311,国权路,地铁10号线,开启
1312,同济大学,地铁10号线,开启
1313,四平路,地铁10号线,开启
1314,邮电新村,地铁10号线,开启
1315,海伦路,地铁10号线,开启
1316,四川北路,地铁10号线,开启
1317,天潼路,地铁10号线,开启
1318,南京东路,地铁10号线,开启
1319,豫园,地铁10号线,开启
1320,老西门,地铁10号线,开启
1321,一大会址·新天地,地铁10号线,开启
1322,陕西南路,地铁10号线,开启
1323,上海图书馆,地铁10号线,开启
1324,交通大学,地铁10号线,开启
1325,虹桥路,地铁10号线,开启
1326,宋园路,地铁10号线,开启
1327,伊犁路,地铁10号线,开启
1328,水城路,地铁10号线,开启
1329,龙溪路,地铁10号线,开启
1330,上海动物园,地铁10号线,开启
1331,虹桥1号航站楼,地铁10号线,开启
1332,虹桥2号航站楼,地铁10号线,开启
1333,虹桥火车站,地铁10号线,开启
1334,嘉定北,地铁11号线,开启
1335,嘉定西,地铁11号线,开启
1336,白银路,地铁11号线,开启
1337,嘉定新城,地铁11号线,开启
1338,马陆,地铁11号线,开启
1339,陈翔公路,地铁11号线,开启
1340,南翔,地铁11号线,开启
1341,桃浦新村,地铁11号线,开启
1342,武威路,地铁11号线,开启
1343,祁连山路,地铁11号线,开启
1344,李子园,地铁11号线,开启
1345,上海西站,地铁11号线,开启
1346,真如,地铁11号线,开启
1347,枫桥路,地铁11号线,开启
1348,曹杨路,地铁11号线,开启
1349,隆德路,地铁11号线,开启
1350,江苏路,地铁11号线,开启
1351,交通大学,地铁11号线,开启
1352,徐家汇,地铁11号线,开启
1353,上海游泳馆,地铁11号线,开启
1354,龙华,地铁11号线,开启
1355,云锦路,地铁11号线,开启
1356,龙耀路,地铁11号线,开启
1357,东方体育中心,地铁11号线,开启
1358,三林,地铁11号线,开启
1359,三林东,地铁11号线,开启
1360,浦三路,地铁11号线,开启
1361,康恒路,地铁11号线,开启
1362,御桥,地铁11号线,开启
1363,罗山路,地铁11号线,开启
1364,秀沿路,地铁11号线,开启
1365,康新公路,地铁11号线,开启
1366,迪士尼,地铁11号线,开启
1367,迪士尼,地铁11号线,开启
1368,康新公路,地铁11号线,开启
1369,秀沿路,地铁11号线,开启
1370,罗山路,地铁11号线,开启
1371,御桥,地铁11号线,开启
1372,康恒路,地铁11号线,开启
1373,浦三路,地铁11号线,开启
1374,三林东,地铁11号线,开启
1375,三林,地铁11号线,开启
1376,东方体育中心,地铁11号线,开启
1377,龙耀路,地铁11号线,开启
1378,云锦路,地铁11号线,开启
1379,龙华,地铁11号线,开启
1380,上海游泳馆,地铁11号线,开启
1381,徐家汇,地铁11号线,开启
1382,交通大学,地铁11号线,开启
1383,江苏路,地铁11号线,开启
1384,隆德路,地铁11号线,开启
1385,曹杨路,地铁11号线,开启
1386,枫桥路,地铁11号线,开启
1387,真如,地铁11号线,开启
1388,上海西站,地铁11号线,开启
1389,李子园,地铁11号线,开启
1390,祁连山路,地铁11号线,开启
1391,武威路,地铁11号线,开启
1392,桃浦新村,地铁11号线,开启
1393,南翔,地铁11号线,开启
1394,陈翔公路,地铁11号线,开启
1395,马陆,地铁11号线,开启
1396,嘉定新城,地铁11号线,开启
1397,上海赛车场,地铁11号线,开启
1398,昌吉东路,地铁11号线,开启
1399,上海汽车城,地铁11号线,开启
1400,安亭,地铁11号线,开启
1401,兆丰路,地铁11号线,开启
1402,光明路,地铁11号线,开启
1403,花桥,地铁11号线,开启
1404,七莘路,地铁12号线,开启
1405,虹莘路,地铁12号线,开启
1406,顾戴路,地铁12号线,开启
1407,东兰路,地铁12号线,开启
1408,虹梅路,地铁12号线,开启
1409,虹漕路,地铁12号线,开启
1410,桂林公园,地铁12号线,开启
1411,漕宝路,地铁12号线,开启
1412,龙漕路,地铁12号线,开启
1413,龙华,地铁12号线,开启
1414,龙华中路,地铁12号线,开启
1415,大木桥路,地铁12号线,开启
1416,嘉善路,地铁12号线,开启
1417,陕西南路,地铁12号线,开启
1418,南京西路,地铁12号线,开启
1419,汉中路,地铁12号线,开启
1420,曲阜路,地铁12号线,开启
1421,天潼路,地铁12号线,开启
1422,国际客运中心,地铁12号线,开启
1423,提篮桥,地铁12号线,开启
1424,大连路,地铁12号线,开启
1425,江浦公园,地铁12号线,开启
1426,宁国路,地铁12号线,开启
1427,隆昌路,地铁12号线,开启
1428,爱国路,地铁12号线,开启
1429,复兴岛,地铁12号线,开启
1430,东陆路,地铁12号线,开启
1431,巨峰路,地铁12号线,开启
1432,杨高北路,地铁12号线,开启
1433,金京路,地铁12号线,开启
1434,申江路,地铁12号线,开启
1435,金海路,地铁12号线,开启
1436,金运路,地铁13号线,开启
1437,金沙江西路,地铁13号线,开启
